"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000028076",-0.490335662876311,7.44568683155441,19.7142204195659,0.00277134955239955,0.0455887001369726
"ENSMUSG00000037820",-0.727110504370352,7.54974324420361,19.3904647616493,0.00290005510607083,0.0468381857852304
"ENSMUSG00000027775",-0.368383313993961,7.62696194553019,19.3802176922446,0.00290425224929696,0.0468381857852304
"ENSMUSG00000054733",-0.395010976795103,7.0245007532036,19.1193374612349,0.00301377398980863,0.04800472022091
"ENSMUSG00000040134",0.570869411426717,10.2113905200728,19.0702965338108,0.00303494887718823,0.04800472022091
"ENSMUSG00000000326",0.455020015075299,9.80152489121401,18.9206195081903,0.00310076429668606,0.0485786406480815
"ENSMUSG00000019987",0.477635192843158,10.7448437506716,18.8409183783827,0.00313655562550333,0.0486757924901225
"ENSMUSG00000054889",-0.591625583249828,7.46423310057471,18.6659133406903,0.0032170184849298,0.049457901006631
"ENSMUSG00000035093",-0.536861595462371,7.08900346751425,18.529138641781,0.00328174998618265,0.0497255849469211
"ENSMUSG00000020189",-0.605642141201099,7.13305044982904,18.4916769674121,0.00329976960561398,0.0497255849469211
"ENSMUSG00000028763",-0.680060786531755,7.06277712836598,18.3768513490028,0.00335579684881203,0.0497255849469211
